a_b_1,,a_b_1_5,,a_b_2,,a_b_3,
X,Y,X,Y,X,Y,X,Y
0,8.108108108108105,0,6.486486486486477,0.02702702702702675,5.896805896805887,0.02702702702702675,5.454545454545446
1.6216216216216215,8.697788697788695,0.40540540540540526,6.339066339066335,0.9729729729729728,6.044226044226036,0.7297297297297294,5.307125307125297
2.7837837837837833,9.729729729729726,0.9999999999999996,6.486486486486477,2,6.191646191646186,1.4864864864864864,5.6019656019655955
4.594594594594595,12.972972972972961,2,6.781326781326776,3.2432432432432425,7.2235872235872165,2.378378378378378,5.896805896805887
5.378378378378379,15.18427518427518,3.0270270270270268,7.665847665847664,4.405405405405405,8.992628992628987,3.054054054054053,6.486486486486477
6.783783783783782,19.164619164619154,3.9999999999999996,8.992628992628987,5.54054054054054,11.203931203931191,3.7567567567567557,7.371007371007366
7.567567567567567,21.52334152334152,5.405405405405405,11.793611793611781,6.513513513513512,13.41523341523341,4.54054054054054,8.402948402948397
8.243243243243244,23.734643734643726,6.4054054054054035,14.152334152334141,7.486486486486486,15.62653562653562,5.1891891891891895,9.729729729729726
9.162162162162161,26.535626535626534,7.351351351351351,16.51105651105651,8.54054054054054,18.13267813267813,6,11.056511056511049
10,29.484029484029477,8.18918918918919,18.869778869778862,9.54054054054054,20.638820638820633,6.8108108108108105,12.825552825552819
10.810810810810809,32.285012285012286,9.08108108108108,21.52334152334152,10.378378378378379,22.997542997542986,7.675675675675675,14.59459459459459
11.513513513513512,35.08599508599508,10.243243243243244,24.766584766584764,11.162162162162161,25.208845208845204,8.513513513513514,16.21621621621621
12.459459459459458,38.77149877149877,11.27027027027027,27.862407862407856,12,27.420147420147416,9.378378378378377,18.28009828009828
13.72972972972973,43.783783783783775,12.054054054054054,30.368550368550366,12.783783783783782,29.92628992628992,10.108108108108109,20.049140049140043
14.378378378378377,46.584766584766584,12.891891891891891,33.02211302211302,13.72972972972973,32.72727272727272,10.918918918918918,21.965601965601962
14.999999999999998,49.38574938574938,13.702702702702702,36.11793611793611,14.567567567567567,35.52825552825553,11.81081081081081,24.324324324324316
15.756756756756756,52.62899262899263,14.702702702702702,39.65601965601965,15.351351351351349,38.03439803439802,12.729729729729728,26.683046683046676
16.297297297297295,55.42997542997543,15.351351351351349,41.572481572481564,16.027027027027025,40.54054054054053,13.54054054054054,28.894348894348887
16.810810810810807,57.78869778869778,16.05405405405405,44.22604422604422,16.756756756756754,42.751842751842744,14.324324324324323,31.1056511056511
17.243243243243242,59.99999999999999,16.810810810810807,47.17444717444717,17.378378378378375,45.110565110565105,15.108108108108107,33.31695331695331
,,17.486486486486484,49.828009828009826,17.972972972972972,47.17444717444717,15.78378378378378,35.23341523341523
,,18.216216216216214,52.33415233415233,18.45945945945946,49.090909090909086,16.405405405405403,37.002457002457
,,18.999999999999996,55.13513513513513,18.999999999999996,51.007371007371006,17.108108108108105,39.213759213759204
,,19.540540540540537,57.49385749385749,19.648648648648646,53.36609336609336,17.7027027027027,40.83538083538083
,,19.918918918918916,58.82063882063882,19.97297297297297,54.54545454545454,18.243243243243242,42.309582309582304
,,,,,,18.78378378378378,44.078624078624074
,,,,,,19.297297297297295,45.55282555282555
,,,,,,19.729729729729726,47.02702702702702
,,,,,,19.945945945945944,47.616707616707615
